_id,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
67ea9875fc4d48605fbdf479,1,1,1,1,1,-1,-1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,-1,0,-1,1,1,1,1
67ea9875fc4d48605fbdece4,1,-1,1,1,1,1,1,1,-1,1,1,1,1,0,0,-1,-1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,1
67ea9875fc4d48605fbdef22,1,-1,1,1,1,-1,0,-1,-1,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,-1,1,1,-1,-1,0,1,-1
67ea9875fc4d48605fbe0524,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,-1,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,1
67ea9875fc4d48605fbe0086,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,0,-1,1,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,1
67ea9875fc4d48605fbe01ed,-1,-1,-1,1,-1,-1,0,1,1,1,1,-1,-1,0,0,-1,1,-1,0,1,1,1,1,-1,-1,1,1,-1,1,1,1
67ea9875fc4d48605fbdfee9,-1,1,1,1,1,-1,1,0,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,1,1,-1,-1,1,0,-1,-1
67ea9875fc4d48605fbe08b0,-1,1,-1,-1,-1,-1,0,1,-1,1,1,-1,1,0,-1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1
67ea9875fc4d48605fbdf71b,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,-1,1,1,0,1,-1
67ea9875fc4d48605fbe0f87,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1
67ea9875fc4d48605fbe0e43,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,-1
67ea9875fc4d48605fbe0d6d,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,0,-1,1,1,-1,1,1,1,1,1,1,-1,0,-1,1,1,1,1
67ea9875fc4d48605fbde92f,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,-1,1,1,1,-1
67ea9875fc4d48605fbdff29,1,-1,1,1,1,1,0,-1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,1
67ea9875fc4d48605fbe09b3,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,0,0,-1,-1,1,0,-1,1,-1,1,-1,1,0,1,1,0,1,1
67ea9875fc4d48605fbdf3f5,1,-1,1,1,1,1,0,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,-1,1,0,-1,1,0,1,1
67ea9875fc4d48605fbe0068,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,-1,1,0,-1,1,1,1,-1
67ea9875fc4d48605fbe0c17,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,0,-1,-1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1
67ea9875fc4d48605fbdef6d,1,-1,1,1,1,-1,0,0,1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,1,1,-1,-1,1,0,1,-1
67ea9875fc4d48605fbdecf0,-1,-1,-1,1,-1,-1,0,1,1,1,1,-1,-1,1,-1,-1,1,-1,0,1,1,1,1,-1,-1,1,1,-1,1,-1,1
67ea9875fc4d48605fbdf246,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,-1,1,-1,1,-1,0,1,-1
67ea9875fc4d48605fbdebbd,1,-1,1,1,1,-1,0,0,1,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,1,-1,0,-1,1,1,1,-1
67ea9875fc4d48605fbe0df7,-1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,1,1,0,1,1,1,1,1,1,0,1,1,-1,1,-1
67ea9875fc4d48605fbdfd9c,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,0,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,0,1,1
67ea9875fc4d48605fbdfdb2,-1,1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1
67ea9875fc4d48605fbe02b4,1,-1,1,1,1,-1,0,-1,-1,1,1,1,-1,0,0,0,1,1,1,1,1,1,1,-1,1,0,1,1,0,1,-1
67ea9875fc4d48605fbdf142,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
67ea9875fc4d48605fbe1225,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,0,-1,1,1,1,0,1,1,1,1,-1,1,0,-1,1,1,1,1
67ea9875fc4d48605fbdf997,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
67ea9875fc4d48605fbded76,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,0,1,1
67ea9875fc4d48605fbded3e,1,-1,1,1,1,-1,0,-1,-1,-1,1,1,1,-1,1,-1,1,1,0,1,1,-1,1,-1,1,-1,-1,1,0,1,-1
67ea9875fc4d48605fbdf0e9,1,-1,1,-1,-1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,1,1,0,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1
67ea9875fc4d48605fbe0d2a,-1,1,-1,1,-1,-1,0,1,-1,1,1,-1,1,0,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1
67ea9875fc4d48605fbdf5d5,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1
67ea9875fc4d48605fbdeb83,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,-1
67ea9875fc4d48605fbdf5fa,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,1,-1,0,-1,1,1,1,-1
67ea9875fc4d48605fbe03bd,-1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,0,0,1,1,0,1,1,1,1,-1,1,-1,1,1,1,1,-1
67ea9875fc4d48605fbe0e86,-1,-1,1,1,1,-1,-1,0,1,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,1,1,0,-1,1,0,-1,-1
67ea9875fc4d48605fbdecf2,1,-1,1,1,1,-1,0,1,1,1,1,1,-1,1,0,-1,1,1,0,1,1,1,1,1,-1,-1,1,1,1,1,1
67ea9875fc4d48605fbe1121,1,-1,1,1,-1,-1,0,0,1,1,1,1,-1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1
67ea9875fc4d48605fbe0c85,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,-1,1,0,-1,1,-1,-1,1,1,0,-1,-1,0,1,-1
67ea9875fc4d48605fbe030a,1,-1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,1,0,1,1,0,1,-1
67ea9875fc4d48605fbdf554,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
67ea9875fc4d48605fbdfb5d,1,-1,1,-1,1,-1,0,-1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,-1
67ea9875fc4d48605fbe07d4,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,1,-1,-1,1,1,1,1
67ea9875fc4d48605fbe0acc,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,0,-1,-1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,-1
67ea9875fc4d48605fbdfe87,1,-1,1,1,1,1,0,1,1,1,1,1,-1,0,-1,1,1,1,0,1,1,1,1,-1,1,1,-1,1,1,1,1
67ea9875fc4d48605fbe0aa6,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,0,0,0,-1,1,0,-1,1,-1,-1,1,1,1,1,1,1,1,1
67ea9875fc4d48605fbe0e37,-1,-1,1,1,1,-1,0,-1,-1,1,1,-1,1,0,-1,-1,1,1,0,1,1,1,1,1,1,0,-1,1,0,1,-1
67ea9875fc4d48605fbdf4b4,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,-1,1,-1,-1
67ea9875fc4d48605fbe0c1f,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,1,-1,1,1,1,-1,1,1,-1,0,-1,1,1,1,-1
67ea9875fc4d48605fbdeaba,1,-1,1,1,1,1,0,-1,-1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,-1,1,0,-1,1,0,1,1
67ea9875fc4d48605fbdedf3,1,1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,-1,-1,0,-1,-1,1,1,-1
67ea9875fc4d48605fbe0889,1,-1,1,1,1,1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
